Vertex_ID	X	Y	Z
100	-0.779604852	-5.331482887	12.60211182
101	0.001473623	-5.306442738	12.62581253
102	-1.65864408	-5.457841873	12.14075565
103	-0.000789374	-5.361405849	12.77796173
104	-0.673735976	-5.313563347	12.77242756
105	-1.217162848	-5.428496838	12.58603764
106	-1.688382983	-5.518770218	12.29193401
107	-2.072686434	-5.591087341	11.91601849
108	-2.375239611	-5.613090515	11.58499336
109	-2.368302822	-5.682923794	11.53201008
110	-2.059821844	-5.576464176	11.80558586
111	-2.432392597	-10.03491402	9.067777634
112	-2.376801252	-9.451687813	10.60500526
113	-2.088871956	-8.479718208	11.36403084
114	-1.797400475	-7.419122696	11.74549389
115	-1.668630838	-6.83247757	12.10790539
116	-1.552652121	-6.300943851	12.49326706
117	-1.282002568	-5.394207001	12.40119743
118	0.000329825	-5.992339611	12.98823547
119	-1.000357866	-5.948641777	12.84093285
120	-1.476312876	-5.857801437	12.58863258
121	-1.850629926	-5.736940384	12.28451824
122	-2.235118151	-5.675666809	11.8811388
123	-2.415383101	-5.688912868	11.68794727
124	-2.400206089	-5.666344643	11.78684235
125	-2.173672915	-5.575763226	12.18613911
126	-1.846891165	-5.352882862	12.62925529
127	-1.364466786	-5.133310795	13.03168774
128	-0.710140705	-4.85544157	13.33216286
129	0.001313737	-4.862870216	13.43999863
130	-0.767256796	-10.32177353	6.275693893
131	-0.004392952	-10.37502766	6.262496948
132	-0.853250682	-10.36649227	8.115215302
133	-0.000149832	-10.38885307	8.146406174
134	-5.422537804	-7.920979023	5.595355511
135	-5.901407719	-6.95727396	6.181902409
136	-7.104338646	-5.840693951	4.495637417
137	-6.843183994	-6.571249008	3.740312338
138	-7.743020535	-4.749928951	1.916398048
139	-7.848692894	-4.525301933	3.14773941
140	-8.246192932	-2.195435762	2.432054043
141	-8.077611923	-2.880176544	3.7490201
142	-8.239981651	-1.909559965	1.230451584
143	-7.352567673	-4.967607021	1.122258067
144	-6.380941868	-7.00373888	3.129303217
145	-4.847121239	-8.382225037	4.892165661
146	-3.321307659	-9.456140518	6.607136726
147	-2.045801163	-10.16144466	7.644032478
148	-1.746974707	-10.13845921	6.140319824
149	-7.959063053	-2.175375938	0.442756206
150	-6.925302982	-5.137074471	0.28669548
151	-6.078105927	-7.324077129	2.230647326
152	-4.504498482	-8.671667099	4.017259121
153	-2.872766972	-9.734919548	5.488465309
154	-7.397520065	-4.050478458	5.354887486
155	-6.45597744	-5.056959152	7.051729679
156	-8.625355721	3.067041874	1.561734557
157	-8.563221931	3.008794308	3.496056557
158	-8.65674305	0.06339255	1.678377509
159	-8.433616638	-0.274261296	2.797085285
160	-8.164281845	-1.0811553	4.241566181
161	-7.514716148	-2.16819334	5.994122982
162	-6.631421566	-3.25203371	7.851158142
163	-5.171185017	2.456770658	10.21621227
164	-5.153007507	2.365561962	10.13120174
165	-5.515800476	2.214642286	9.962337494
166	-5.636846066	2.48878479	9.954602242
167	-5.314787388	1.864701867	10.27243042
168	-5.059929371	2.210632801	10.39750957
169	-5.214674473	2.81182766	10.39934254
170	-4.943335533	2.613938332	10.52477932
171	-2.286921024	2.064731121	10.46718311
172	-2.252410412	2.207189083	10.43508244
173	-1.872583508	2.270971298	10.56701279
174	-1.945405364	1.982722044	10.66824532
175	-2.424238443	1.713609457	10.87227154
176	-2.691923857	2.0427773	10.8324604
177	-3.073632479	1.453365088	11.02602005
178	-3.193522215	1.887036324	11.01454544
179	-3.73178339	1.265683651	11.01239395
