Vertex_ID	X	Y	Z
64	-1.519151688	0.38532567	12.24240589
65	-1.11910212	-2.130919456	14.63769722
66	0.000496502	-3.033430099	13.8822155
67	-0.643007159	-2.323726416	14.70159626
68	9.37E-05	-2.488401175	15.0273037
69	0.000304991	-3.292640686	13.63192368
70	-0.532893062	-3.360789537	13.34183502
71	0.000239563	-2.840964794	14.30288696
72	-0.429625928	-2.56709671	14.10480499
73	-1.071643233	0.85626471	12.69232559
74	-0.977342606	0.130274177	13.22378159
75	-1.175023317	-0.598745644	13.77092552
76	-1.607412696	-2.302002907	13.95964527
77	-0.000149832	-7.235555172	12.03745747
78	-0.987812936	-7.299775124	11.95056629
79	-2.441030741	-6.915903091	11.52633667
80	-3.015651226	-6.304366112	11.15067673
81	-3.3066926	-5.858150005	11.1137352
82	-3.309537649	-5.415384293	11.33958149
83	-2.984330177	-4.876371384	11.70247269
84	-2.449354172	-4.262148857	12.06837845
85	-1.971466064	-3.594645739	12.32601357
86	-1.744864464	-2.616250038	12.52390099
87	-2.023014784	-1.980216503	13.16432762
88	-1.759188294	-1.620622754	14.06825542
89	-1.279548407	-1.531277895	14.7290535
90	-0.764145851	-1.780325532	15.32712841
91	-0.000377555	-1.855574131	15.65328026
92	-0.676638365	-1.027399182	15.29412937
93	-0.000416415	-1.036590099	15.6230545
94	-0.746820986	-1.938447595	13.82992649
95	-0.509148002	-1.77759099	14.22158241
96	-0.940266013	-2.067380667	13.17729092
97	-1.245727897	-2.081748247	13.23718739
98	-0.771120131	-1.674391747	14.25482464
99	-1.124596357	-1.905805588	13.8838377
100	-0.779604852	-5.361132622	12.60211182
101	0.001473623	-5.31085062	12.62581253
102	-1.65864408	-5.595371246	12.14075565
103	-0.000789374	-5.361405849	12.77796173
104	-0.673735976	-5.327071667	12.77242756
105	-1.217162848	-5.493921757	12.58603764
106	-1.688382983	-5.643245697	12.29193401
107	-2.072686434	-5.756980419	11.91521931
108	-2.375239611	-5.814478397	11.52515602
109	-2.368302822	-5.865020275	11.48365402
110	-2.059821844	-5.757858753	11.7905302
111	-2.756769657	-10.11636543	9.664640427
112	-2.52430892	-9.442993164	11.03667831
113	-2.105708838	-8.425523758	11.45590878
114	-1.801095128	-7.252455235	11.74754047
115	-1.668630838	-6.751386642	12.10790539
116	-1.552652121	-6.346512318	12.36658478
117	-1.282002568	-5.472520828	12.40119743
118	0.000329825	-6.015387535	12.98780823
119	-1.000357866	-6.027702808	12.83287334
120	-1.476312876	-5.960267067	12.56807423
121	-1.850629926	-5.882402897	12.23582363
122	-2.235118151	-5.864556789	11.80150795
